item,classC,classB
http://www.wikidata.org/entity/Q101998,http://www.wikidata.org/entity/Q4421,http://www.wikidata.org/entity/Q37813
http://www.wikidata.org/entity/Q123705,http://www.wikidata.org/entity/Q10267336,http://www.wikidata.org/entity/Q17276937
http://www.wikidata.org/entity/Q121359,http://www.wikidata.org/entity/Q202255,http://www.wikidata.org/entity/Q289
http://www.wikidata.org/entity/Q131436,http://www.wikidata.org/entity/Q17065611,http://www.wikidata.org/entity/Q11413
http://www.wikidata.org/entity/Q127771,http://www.wikidata.org/entity/Q700671,http://www.wikidata.org/entity/Q696089
http://www.wikidata.org/entity/Q127771,http://www.wikidata.org/entity/Q15452071,http://www.wikidata.org/entity/Q641977
http://www.wikidata.org/entity/Q127771,http://www.wikidata.org/entity/Q15452300,http://www.wikidata.org/entity/Q641977
http://www.wikidata.org/entity/Q127771,http://www.wikidata.org/entity/Q15514020,http://www.wikidata.org/entity/Q1591662
http://www.wikidata.org/entity/Q133981,http://www.wikidata.org/entity/Q21010954,http://www.wikidata.org/entity/Q21893647
http://www.wikidata.org/entity/Q133981,http://www.wikidata.org/entity/Q21402572,http://www.wikidata.org/entity/Q21893647
http://www.wikidata.org/entity/Q151885,http://www.wikidata.org/entity/Q131841,http://www.wikidata.org/entity/Q2145290
http://www.wikidata.org/entity/Q143210,http://www.wikidata.org/entity/Q61070,http://www.wikidata.org/entity/Q625143
http://www.wikidata.org/entity/Q155076,http://www.wikidata.org/entity/Q17123348,http://www.wikidata.org/entity/Q16054409
http://www.wikidata.org/entity/Q158382,http://www.wikidata.org/entity/Q101092304,http://www.wikidata.org/entity/Q101198711
http://www.wikidata.org/entity/Q153564,http://www.wikidata.org/entity/Q5333079,http://www.wikidata.org/entity/Q26742032
http://www.wikidata.org/entity/Q162314,http://www.wikidata.org/entity/Q42306679,http://www.wikidata.org/entity/Q1267783
http://www.wikidata.org/entity/Q170758,http://www.wikidata.org/entity/Q1916209,http://www.wikidata.org/entity/Q7796114
http://www.wikidata.org/entity/Q173424,http://www.wikidata.org/entity/Q147982,http://www.wikidata.org/entity/Q15057121
http://www.wikidata.org/entity/Q173514,http://www.wikidata.org/entity/Q4377406,http://www.wikidata.org/entity/Q911646
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q1938763,http://www.wikidata.org/entity/Q127076
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q352585,http://www.wikidata.org/entity/Q19000619
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q373597,http://www.wikidata.org/entity/Q19000619
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q1269399,http://www.wikidata.org/entity/Q19000619
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q2565950,http://www.wikidata.org/entity/Q19000619
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q1633866,http://www.wikidata.org/entity/Q30694315
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q3316140,http://www.wikidata.org/entity/Q12046440
http://www.wikidata.org/entity/Q173799,http://www.wikidata.org/entity/Q66825911,http://www.wikidata.org/entity/Q259037
http://www.wikidata.org/entity/Q169872,http://www.wikidata.org/entity/Q96278437,http://www.wikidata.org/entity/Q21120010
http://www.wikidata.org/entity/Q175263,http://www.wikidata.org/entity/Q677051,http://www.wikidata.org/entity/Q4544940
http://www.wikidata.org/entity/Q175854,http://www.wikidata.org/entity/Q980010,http://www.wikidata.org/entity/Q4147342
http://www.wikidata.org/entity/Q175854,http://www.wikidata.org/entity/Q1363791,http://www.wikidata.org/entity/Q8043081
http://www.wikidata.org/entity/Q172937,http://www.wikidata.org/entity/Q15932244,http://www.wikidata.org/entity/Q98446306
http://www.wikidata.org/entity/Q172937,http://www.wikidata.org/entity/Q18048486,http://www.wikidata.org/entity/Q98446306
http://www.wikidata.org/entity/Q176799,http://www.wikidata.org/entity/Q11894227,http://www.wikidata.org/entity/Q2008856
http://www.wikidata.org/entity/Q179405,http://www.wikidata.org/entity/Q671758,http://www.wikidata.org/entity/Q35830
http://www.wikidata.org/entity/Q178359,http://www.wikidata.org/entity/Q177564,http://www.wikidata.org/entity/Q249114
http://www.wikidata.org/entity/Q179700,http://www.wikidata.org/entity/Q33001050,http://www.wikidata.org/entity/Q208120
http://www.wikidata.org/entity/Q181394,http://www.wikidata.org/entity/Q652555,http://www.wikidata.org/entity/Q127980
http://www.wikidata.org/entity/Q182545,http://www.wikidata.org/entity/Q18535,http://www.wikidata.org/entity/Q843227
http://www.wikidata.org/entity/Q183816,http://www.wikidata.org/entity/Q1907867,http://www.wikidata.org/entity/Q2903406
http://www.wikidata.org/entity/Q183816,http://www.wikidata.org/entity/Q60603699,http://www.wikidata.org/entity/Q754848
http://www.wikidata.org/entity/Q183816,http://www.wikidata.org/entity/Q65054910,http://www.wikidata.org/entity/Q754848
http://www.wikidata.org/entity/Q183816,http://www.wikidata.org/entity/Q98168800,http://www.wikidata.org/entity/Q754848
http://www.wikidata.org/entity/Q185451,http://www.wikidata.org/entity/Q886106,http://www.wikidata.org/entity/Q66024779
http://www.wikidata.org/entity/Q184377,http://www.wikidata.org/entity/Q718498,http://www.wikidata.org/entity/Q701013
http://www.wikidata.org/entity/Q187588,http://www.wikidata.org/entity/Q6633946,http://www.wikidata.org/entity/Q134737
http://www.wikidata.org/entity/Q184377,http://www.wikidata.org/entity/Q10805375,http://www.wikidata.org/entity/Q701013
http://www.wikidata.org/entity/Q188063,http://www.wikidata.org/entity/Q58683277,http://www.wikidata.org/entity/Q3556994
http://www.wikidata.org/entity/Q190087,http://www.wikidata.org/entity/Q7247800,http://www.wikidata.org/entity/Q2879072
http://www.wikidata.org/entity/Q188267,http://www.wikidata.org/entity/Q30267,http://www.wikidata.org/entity/Q2465506
http://www.wikidata.org/entity/Q189533,http://www.wikidata.org/entity/Q55334314,http://www.wikidata.org/entity/Q163727
http://www.wikidata.org/entity/Q189533,http://www.wikidata.org/entity/Q25929244,http://www.wikidata.org/entity/Q5978719
http://www.wikidata.org/entity/Q188451,http://www.wikidata.org/entity/Q4499034,http://www.wikidata.org/entity/Q1989725
http://www.wikidata.org/entity/Q188451,http://www.wikidata.org/entity/Q5612172,http://www.wikidata.org/entity/Q7309098
http://www.wikidata.org/entity/Q188451,http://www.wikidata.org/entity/Q4499034,http://www.wikidata.org/entity/Q20819985
http://www.wikidata.org/entity/Q193395,http://www.wikidata.org/entity/Q4432,http://www.wikidata.org/entity/Q487343
http://www.wikidata.org/entity/Q200538,http://www.wikidata.org/entity/Q23459413,http://www.wikidata.org/entity/Q6124436
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q55784880,http://www.wikidata.org/entity/Q7113674
http://www.wikidata.org/entity/Q200779,http://www.wikidata.org/entity/Q60195168,http://www.wikidata.org/entity/Q1452604
